iter	Passed	Remaining
0	15	15909
1	30	15107
2	44	14920
3	59	14860
4	74	14791
5	89	14769
6	103	14716
7	118	14716
8	133	14717
9	148	14714
10	163	14711
11	178	14685
12	192	14638
13	206	14577
14	221	14570
15	236	14530
16	250	14503
17	265	14500
18	280	14466
19	294	14435
20	310	14456
21	324	14431
22	339	14410
23	353	14392
24	368	14379
25	383	14371
26	397	14341
27	412	14314
28	427	14304
29	441	14285
30	456	14259
31	470	14241
32	486	14244
33	500	14222
34	514	14196
35	529	14181
36	544	14165
37	558	14144
38	572	14114
39	587	14107
40	601	14076
41	616	14059
42	631	14056
43	646	14039
44	660	14018
45	675	13999
46	689	13979
47	703	13951
48	717	13933
49	732	13922
50	747	13911
51	762	13891
52	776	13870
53	790	13854
54	805	13835
55	819	13821
56	833	13796
57	848	13784
58	869	13867
59	884	13854
60	897	13820
61	912	13799
62	925	13770
63	939	13747
64	953	13722
65	967	13698
66	981	13671
67	996	13663
68	1011	13644
69	1025	13628
70	1040	13613
71	1054	13596
72	1069	13578
73	1083	13556
74	1097	13536
75	1111	13514
76	1125	13494
77	1140	13477
78	1154	13454
79	1168	13437
80	1182	13415
81	1196	13391
82	1210	13372
83	1224	13351
84	1238	13332
85	1253	13317
86	1266	13292
87	1280	13275
88	1294	13254
89	1309	13236
90	1323	13222
91	1337	13203
92	1352	13187
93	1367	13178
94	1382	13171
95	1396	13149
96	1410	13133
97	1425	13119
98	1439	13103
99	1454	13090
100	1468	13070
101	1482	13054
102	1497	13039
103	1511	13019
104	1525	13005
105	1539	12988
106	1554	12974
107	1569	12959
108	1583	12944
109	1597	12923
110	1611	12903
111	1626	12894
112	1640	12879
113	1654	12859
114	1668	12842
115	1682	12822
116	1697	12807
117	1710	12787
118	1724	12769
119	1739	12754
120	1753	12737
121	1767	12717
122	1781	12698
123	1795	12681
124	1808	12662
125	1823	12648
126	1837	12628
127	1851	12611
128	1865	12596
129	1879	12579
130	1894	12565
131	1908	12551
132	1923	12536
133	1936	12516
134	1950	12500
135	1965	12486
136	1979	12468
137	1993	12453
138	2008	12438
139	2022	12421
140	2036	12409
141	2051	12394
142	2064	12375
143	2079	12362
144	2093	12345
145	2107	12329
146	2122	12316
147	2136	12299
148	2150	12283
149	2164	12267
150	2178	12249
151	2192	12233
152	2207	12219
153	2222	12207
154	2237	12197
155	2251	12183
156	2266	12167
157	2280	12150
158	2294	12136
159	2308	12121
160	2322	12104
161	2336	12087
162	2350	12070
163	2364	12052
164	2378	12036
165	2393	12023
166	2407	12007
167	2421	11992
168	2436	11978
169	2450	11963
170	2464	11948
171	2478	11933
172	2493	11917
173	2507	11901
174	2521	11886
175	2535	11872
176	2550	11857
177	2564	11842
178	2578	11828
179	2592	11810
180	2606	11792
181	2620	11777
182	2634	11763
183	2649	11748
184	2663	11732
185	2677	11717
186	2691	11700
187	2704	11682
188	2719	11667
189	2733	11652
190	2747	11638
